Parole de Vie,"Rue Robert Scott, 14",1180 BRUSSEL-UKKEL ,BRUSSEL-UKKEL,1180,Réseau Antioche,ARPEE
Evangelische Kerk Aalst,"R.-k. Sint-Jozefskerk, Seringenlaan 7",9470 DENDERLEEUW ,DENDERLEEUW,9470,Mission Evangélique Belge,ARPEE
Volle Evangelie Gemeenschap De Bron,Sint-Jobstraat 60,9300 AALST ,AALST,9300,Verbond van Vlaamse Pinkstergemeenten,ARPEE
Volle Evangelie Gemeenschap De Bron,Sint-Jobstraat 60,9300 AALST ,AALST,9300,Verbond van Vlaamse Pinkstergemeenten,ARPEE
Evangelische Kerk Aarschot,"Kapel Bergvijver, Tieltsebaan 72",3200 AARSCHOT ,AARSCHOT,3200,Vrije Evangelische Gemeenten,ARPEE
Nieuw Leven Christen Gemeente,Wissenstraat 22,3200 AARSCHOT ,AARSCHOT,3200,Verbond van Vlaamse Pinkstergemeenten,ARPEE
Evangeliecentrum,Daalstraat 71,1790 AFFLIGEM ,AFFLIGEM,1790,Overleg van Autonome Evangelische Gemeenten,ARPEE
Eglise protestante unie de Belgique,"Rue de l'Industrie, 42",4540 AMAY ,AMAY,4540,Eglise Protestante Unie de Belgique,ARPEE
Eglise protestante unie de Belgique,"Rue de la Station, 8",5300 ANDENNE ,ANDENNE,5300,Eglise Protestante Unie de Belgique,ARPEE
Assemblée protestante évangélique,"Place de la Résistance, 19",6560 ERQUELINNES ,ERQUELINNES,6560,Assemblées Protestantes Évangéliques de Belgique,ARPEE
Eglise protestante unie de Belgique,"Rue François Ennot, 91",4432 ANS ,ANS,4432,Eglise Protestante Unie de Belgique,ARPEE
Antwerp International Protestant Church,Veltwijcklaan 180,2180 ANTWERPEN ,ANTWERPEN,2180,Eglises en entente administrative avec l'EPUB,ARPEE
Eglise Evangélique de Plein Réveil,"School Het Keerpunt, Prins Leopoldstraat 51",2140 ANTWERPEN ,ANTWERPEN,2140,Réseau Antioche,ARPEE
Deutschsprachige evangelische Gemeinde in der Provinz Antwerpen (DEGPA),"Kapel van het T.P.C., Groenenborgerlaan 149",2020 ANTWERPEN ,ANTWERPEN,2020,Eglises affilié à l'EPUB,ARPEE
Biserica Creștină Română Elim,Sint-Bernardsesteenweg 770,2660 ANTWERPEN ,ANTWERPEN,2660,Réseau Antioche,ARPEE
Eglise Corps de Christ,Klapdorp 68,2000 ANTWERPEN ,ANTWERPEN,2000,Réseau Antioche,ARPEE
Fraternité évangélique de Pentecôte en Afrique et en Belgique - Paroisse d'Anvers,Tweemontstraat 407,2100 ANTWERPEN ,ANTWERPEN,2100,Réseau Antioche,ARPEE
Église internationale Source de Bénédiction,"Place de la Gare, 1",1082 BRUSSEL-BERCHEM-SAINTE-AGATHE ,BRUSSEL-BERCHEM-SAINTE-AGATHE,1082,Réseau Antioche,ARPEE
Iglesia Cristiana de Amberes,Vliegenstraat 39-41,2060 ANTWERPEN ,ANTWERPEN,2060,Concertation des Églises Indépendantes,ARPEE
L'Arche de l'Eternel,Lange Beeldekensstraat 35,2060 ANTWERPEN ,ANTWERPEN,2060,Église de Dieu en Belgique,ARPEE
La Nouvelle Jérusalem,Lange Leemstraat 383,2018 ANTWERPEN ,ANTWERPEN,2018,Église de Dieu en Belgique,ARPEE
Eglise protestante unie de Belgique,Bexstraat 13,2018 ANTWERPEN ,ANTWERPEN,2018,Eglise Protestante Unie de Belgique,ARPEE
Evangelische Christengemeente Berchem,Sint-Lambertusstraat 38,2600 ANTWERPEN ,ANTWERPEN,2600,Evangelische Christengemeenten Vlaanderen,ARPEE
Adventkerk,Lange Lozanastraat 36,2000 ANTWERPEN ,ANTWERPEN,2000,Fédération des Eglises adventistes,ARPEE
Christelijke Gereformeerde Kerk - Evangelisch Centrum,Boterlaarbaan 19-21,2100 ANTWERPEN ,ANTWERPEN,2100,Gereformeerd Overleg Vlaanderen,ARPEE
Gereformeerde Gemeente - Christelijk Centrum De Bron,Jaak De Boeckstraat 21-23,2170 ANTWERPEN ,ANTWERPEN,2170,Gereformeerd Overleg Vlaanderen,ARPEE
Leger des Heils,Aalmoezenierstraat 54,2000 ANTWERPEN ,ANTWERPEN,2000,Armée du Salut,ARPEE
Evangelische Kerk Antwerpen,Karel Rogierstraat 8,2000 ANTWERPEN ,ANTWERPEN,2000,Evangelische Christengemeenten Vlaanderen,ARPEE
International Baptist Church (IBC),Onderwijsstraat 28,2060 ANTWERPEN ,ANTWERPEN,2060,Overleg van Autonome Evangelische Gemeenten,ARPEE
Wereldwijde Kerk van God,"Zaal 't Spieke, Hanegraefstraat 5",2050 ANTWERPEN-LINKEROEVER ,ANTWERPEN-LINKEROEVER,2050,Overleg van Autonome Evangelische Gemeenten,ARPEE
Evangelisch-Lutherse Kerk,Tabakvest 59,2000 ANTWERPEN ,ANTWERPEN,2000,Eglises Luthériennes,ARPEE
Antwerp Christian Fellowship,Lange Lozanastraat 36,2018 ANTWERPEN ,ANTWERPEN,2018,Eglises en entente administrative avec l'EPUB,ARPEE
Antwerp Truth Church,Lange Beeldekensstraat 24,2060 ANTWERPEN ,ANTWERPEN,2060,Verbond van Vlaamse Pinkstergemeenten,ARPEE
De Wijngaard Christengemeenschap,Duinstraat 84,2060 ANTWERPEN ,ANTWERPEN,2060,Verbond van Vlaamse Pinkstergemeenten,ARPEE
Endtime Outreach International Ministry,Duinstraat 84,2060 ANTWERPEN ,ANTWERPEN,2060,Onder de directe verantwoordelijkheid van de Uitvoerende Raad van de Federale Synode,ARPEE
Evangelische Kerk Philadelphia,Sint-Bernardsesteenweg 505,2660 ANTWERPEN ,ANTWERPEN,2660,Verbond van Vlaamse Pinkstergemeenten,ARPEE
Light of the World Ministry International - House of Glory,"Zaal 't Capucientje, Capucienenlaan 99",9300 AALST ,AALST,9300,Verbond van Vlaamse Pinkstergemeenten,ARPEE
Centro Cristiano Pentecostal Vida Nueva,"Rue Gheude, 54 (salle à droite)",1070 BRUSSEL-ANDERLECHT ,BRUSSEL-ANDERLECHT,1070,Concertation des Églises Indépendantes,ARPEE
The Redeemed Christian Church of God - New Life Assembly,Statiestraat 149,2600 ANTWERPEN ,ANTWERPEN,2600,Redeemed Christian Church of God,ARPEE
